,Hotels,Prices,Descriptions,Full_Descriptions
0,Majestic 4BR/4BATH apartment in Sagrada Familia area,"€ 8,632",Managed by a private host,"Situated in Barcelona, 800 metres from Sagrada Familia and 1.6 km from La Pedrera, Majestic 4BR/4BATH apartment in Sagrada Familia area features spacious air-conditioned accommodation with a balcony and free WiFi. The property has city views and is 2.7 km from Passeig de Gracia and 2.8 km from Passeig de Gracia Metro Station. The property is non-smoking and is located 2.3 km from Casa Batllo.

This apartment has 4 bedrooms, a kitchen with a microwave and a fridge, a flat-screen TV, a seating area and 4 bathrooms fitted with a bidet.

Palau de la Musica Catalana is 3.2 km from the apartment, while Tivoli Theatre is 3.2 km from the property. The nearest airport is Barcelona El Prat, 15 km from Majestic 4BR/4BATH apartment in Sagrada Familia area, and the property offers a free airport shuttle service."
1,Le Palacete powered by Sonder,"€ 1,413",1 extra-large double bed,"Situated in Barcelona, in the Gracia district, 1 km from Park Güell, Sonder l Le Palacete features an interior garden and courtyard.

Rooms come with a flat-screen TV. Some units feature a seating area and a private terrace. You will find a coffee machine in the room. All rooms are equipped with a private bathroom. Sonder l Le Palacete features free WiFi throughout the property. The property offers contact-free check-in and 24/7 virtual support which limits in-person interaction.

Sagrada Familia is 1.3 km from Sonder l Le Palacete, while La Pedrera is 1.4 km away. The nearest airport is Barcelona El Prat Airport, 14 km from Sonder l Le Palacete."
2,Hostal la Palmera,€ 737,2 single beds,"This pleasant guest house is set behind La Boqueria Market, 100 metres from Las Ramblas. It offers bright rooms, a free Wi-Fi zone and 24-hour reception.

La Palmera’s air-conditioned rooms feature smart decor and laminate floors. All have a sink and bathrooms are shared or private. Sheets and towels are included.

The guest house offers coffee, tea and cold drinks for sale at reception. There are numerous bars, restaurants and shops within 2 minutes’ walk and Plaza Real Square is 300 metres away.

Hostal la Palmera is 5 minutes’ walk from Barcelona Cathedral in the Gothic Quarter, while Gaudi’s La Pedrera and Casa Batlló are 20 minutes’ walk away.

Hostal la Palmera is 2 minutes’ walk from Liceu Metro Station. Direct buses to Barcelona El Prat Airport leave from Plaza Catalunya Square, 600 metres away and Port Vell is 10 minutes’ away by foot"
3,Hotel Alimara,€ 708,1 large double bed,"Hotel Alimara is a modern hotel located in Barcelona’s Horta district. It has a central garden, several meeting rooms, rooms with flat-screen TVs, and a fitness centre.

All rooms at the Alimara Hotel have both air conditioning and heating. They all have a private bathroom with hairdryer.

The Alimara’s restaurant serves Mediterranean food with a modern twist and there are children’s menus available. The hotel bar, SUMMUM, features a terrace and serves food, drinks and snacks.

The hotel is located 1 minutes' walk from Mundet Metro Station, and it is a 12-minute journey into central Barcelona. Gaudí’s iconic Parc Güell is 4 Metro stops away from Mundet."
4,Catalonia Atenas,"€ 1,059",Beds: 1 double or 2 singles,"Set 3 metro stops from central Barcelona, the Atenas Catalonia has a rooftop swimming pool, offering views of the nearby Torre Agbar and Sagrada Familia. It also features free WiFi, a gym and a spa with a Turkish bath.

The bright rooms of Hotel Atenas Barcelona have simple décor with wooden flooring. Each has air conditioning, a mini fridge with complimentary water, and satellite TV.

The hotel's buffet breakfast features a show kitchen. There is a snack bar and guests can enjoy stunning city views from the pool, set on the 11th floor.

The Sagrada Familia is just over one kilometre from the hotel, while Glòries shopping centre can be reached in 15 minutes by foot.

The Catalonia Atenas has a convenient left luggage service, on-site parking, and is 2 minutes’ walk from Clot Metro Station; and 200 metres from Clot Train Station; here you can take a direct train to Barcelona Airport."
5,Acta CITY47,"€ 1,023",1 double bed,"Acta CITY47 is 5 minutes’ walk from Barcelona Sants Train Station and 15 minutes from the Fira Exhibition Centre. It offers a 24-hour reception and air-conditioned rooms with free WiFi.

The rooms at Acta CITY47 feature simple, modern décor and a private bathroom. Each one comes with a TV, free safe, and a work desk. Guests have free access to an ironing room open 24 hours.

The hotel’s modern Nass City restaurant serves international food and a gluten-free breakfast is available on prior request. There is also a bar where you can get a snack or a drink.

The Acta CITY47 is 20 minutes’ walk from Barcelona FC’s Camp Nou Stadium. Sants Metro Station connects you with the centre of Barcelona in 15 minutes."
6,Avinyo 1,€ 650,1 double bed,"Avinyo 1 in Barcelona offers accommodation with free WiFi, 1.8 km from Sant Miquel Beach, 1.9 km from Barceloneta Beach and 200 metres from Plaça Reial. This property is set a short distance from attractions such as Passeig de Gracia, Plaça Catalunya, and Palau de la Musica Catalana. The property is less than 1 km from the city centre and 1.8 km from Sant Sebastian Beach.

Towels and bed linen are offered in the bed and breakfast. The accommodation is non-smoking.

Popular points of interest near the bed and breakfast include Cathedral of Barcelona, Santa Maria del Mar and Picasso Museum. The nearest airport is Barcelona El Prat Airport, 12 km from Avinyo 1."
7,Hotel Sansi Barcelona,"€ 1,086",1 double bed,"Well situated in the Eixample district of Barcelona, Hotel Sansi Barcelona is set 600 metres from Plaça Catalunya, 400 metres from Passeig de Gracia Metro Station and 500 metres from Casa Batllo. This 4-star hotel offers room service, a 24-hour front desk and free WiFi. The property is 400 metres from Passeig de Gracia, and within 600 metres of the city centre.

The hotel will provide guests with air-conditioned rooms with a desk, a safety deposit box, a flat-screen TV and a private bathroom with a bath.

Popular points of interest near Hotel Sansi Barcelona include Boqueria Market, Tivoli Theatre and Palau de la Musica Catalana. The nearest airport is Barcelona El Prat Airport, 13 km from the accommodation."
8,Catalonia Sagrada Familia,"€ 1,075",Beds: 1 double or 2 singles,"A 15-minute walk from Gaudí's Sagrada Família, Catalonia Sagrada Familia is just 300 metres from Clot Metro and Train Station. It features a restaurant, a seasonal outdoor pool and a gym.

The Catalonia Sagrada Familia features traditional, bright décor and its rooms are have a desk, a mini fridge with complimentary water and a safety deposit box. Free Wi-Fi access is available.
All hotel rooms have smart TVs, which are equipped with Chromecast app.

The restaurant serves a range of Catalan and Mediterranean cuisine, as well as a buffet breakfast. The café-bar offers a selection of drinks and snacks throughout the day and there is also a bar.

Car hire is available on site, and staff at the Catalonia Sagrada Familia’s 24-hour reception can provide information on Barcelona and its many attractions. The hotel is 200 metres from the Torre Agbar Tower.

Clot Metro Station connects guests to the city centre in 4 stops and the airport train also stops here."
9,Acta Voraport,"€ 1,296",Beds: 1 double or 2 singles,"Set in Barcelona, less than 1 km from Bogatell Beach, Acta Voraport offers accommodation with an outdoor swimming pool, private parking, a terrace and a restaurant. Featuring a bar, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The accommodation features an ATM, a concierge service and organising tours for guests.

At the hotel, all rooms have a desk and a flat-screen TV. Each room is equipped with a safety deposit box and some rooms also feature city views. At Acta Voraport the rooms are equipped with bed linen and towels.

A buffet breakfast is available every morning at the accommodation.

Languages spoken at the 24-hour front desk include Catalan, English, Spanish and French.

Popular points of interest near Acta Voraport include Mar Bella Beach, Nova Icaria Beach and Somorrostro Beach. The nearest airport is Barcelona El Prat Airport, 15 km from the hotel."
