,Hotels,Prices,Descriptions,Full_Descriptions
0,Crowne Plaza - Marseille Le Dôme,€ 784,1 large double bed,"Situated in Marseille, 2.8 km from La Timone Metro Station, Crowne Plaza - Marseille Le Dôme features accommodation with a seasonal outdoor swimming pool, private parking, a fitness centre and a terrace. Featuring a restaurant, the 4-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The accommodation offers room service, a concierge service and luggage storage for guests.

The units at the hotel are fitted with a seating area, a flat-screen TV and a safety deposit box. All rooms will provide guests with a desk and a coffee machine.

Breakfast is available each morning, and includes buffet, continental and American options.

Languages spoken at the reception include English, Spanish, French and Italian.

Vieux Port Metro station is 4.1 km from Crowne Plaza - Marseille Le Dôme, while Castellane Metro Station is 4.2 km from the property. The nearest airport is Marseille Provence Airport, 23 km from the accommodation."
1,Sous le Clocher,€ 766,Managed by a private host,"Sous le Clocher is a self-catering accommodation set in an old convent located in Marseille.  The property is 500 metres from Vieux Port Metro station. Free WiFi access is available.

The apartment features a fully equipped open-plan kitchen with a dishwasher and a microwave. The private bathroom has a shower and a hairdryer. You can enjoy a garden view. Extras include a washing machine, a sofa and ironing facilities.

Many bars and restaurants can be found within a 5-minute walk.

If you feel like visiting the surroundings, check out Palais du Pharo (1 km). Marseille Provence Airport is located 20 km away."
2,Maison Dormoy,"€ 1,270","2 beds (1 double, 1 extra-large double)","Situated in Marseille, 2.9 km from Saint-Ferreol Street and 3.2 km from Les Terrasses du Port Shopping Centre, Maison Dormoy features free WiFi.

A continental breakfast is available each morning at the property.

Museum of European and Mediterranean Civilisations is 3.4 km from Maison Dormoy, while Marseille Chanot Exhibition and Convention Centre is 3.8 km from the property. The nearest airport is Marseille Provence Airport, 29 km from the accommodation."
3,Toyoko INN Marseille Saint Charles,€ 665,1 large double bed,"Set in Marseille, just a 5-minute walk from Marseille Saint Charles Train Station, Toyoko INN Marseille Saint Charles features a garden and free WiFi. The hotel is easily accessible from A7 highway. Secured parking is provided but parking spots are limited and cannot be booked in advance.

The air-conditioned guest rooms in the hotel are equipped with a flat-screen TV, desk and a private bathroom with a bath.

Speaking English and French, staff are willing to help at any time of the day at the reception.

Marseille's Old Port is 1.1 km from the accommodation and Les Terrasses du Port Shopping Centre is 20 minutes' walk away. The nearest airport is Marseille Provence Airport, 20 km from Toyoko INN Marseille Saint Charles."
4,Résidence Kley,€ 447,1 double bed,"Résidence Kley has a shared lounge, terrace, water sports facilities and tennis court in Marseille. Located around 1.1 km from Joliette Metro Station, the hotel with free WiFi is also 1.3 km away from Les Terrasses du Port Shopping Centre. The accommodation offers evening entertainment and a shared kitchen.

At the hotel, the rooms have a desk. At Résidence Kley all rooms are fitted with bed linen and towels.

You can play table tennis at the accommodation, and the area is popular for hiking and windsurfing.

Marseille Saint-Charles Train Station is 1.2 km from Résidence Kley, while Vieux Port Metro station is 1.9 km from the property. The nearest airport is Marseille Provence Airport, 21 km from the hotel."
5,Residhotel Vieux Port,€ 773,1 large double bed,"Residhotel Vieux Port is located in Marseille's city centre, in front of the old port and a 15-minute walk from both the Mucem Museum and les Terrasses du Port Shopping Centre. It offers air-conditioned guest rooms with a private bathroom, flat-screen TVs and free WiFi.

Each spacious apartment has a kitchenette, a seating area and a flat-screen TV. Bed linen and towels are included.

A continental breakfast is available daily in the dining room. The reception is open every day from 07:30 to 12:30 and from 14:00 to 22:30.

Residhotel Vieux Port is in close proximity to the Palais de la Bourse and the Boulevard de la Canebière.

Vieux-Port Metro Station is just 200 metres from the property, and Saint-Charles train station is 1.3 km away. Public parking is available nearby."
6,DANIEL,€ 363,Managed by a private host,"DANIEL features accommodation within 600 metres of the centre of Marseille, with free WiFi, and a kitchenette with a microwave, a fridge and a stovetop. The property is close to several well-known attractions, 1.2 km from Marseille Saint-Charles Train Station, 1.9 km from Museum of European and Mediterranean Civilisations and 1.8 km from Notre-Dame de la Garde Basilica. Plage des Catalans is 2.2 km from the apartment and La Timone Metro Station is 2.5 km away.

All units in the apartment complex are fitted with a coffee machine. There is a fully equipped private bathroom with shower and a hair dryer.

Dining options are available close to the apartment.

Popular points of interest near DANIEL include Saint-Ferreol Street, Castellane Metro Station and Vieux Port Metro station. The nearest airport is Marseille Provence Airport, 23 km from the accommodation."
7,L'Orangeraie et la Palmeraie d'Endoume,€ 813,Managed by a private host,"Offering a garden, L'Orangeraie et la Palmeraie d'Endoume offers accommodation in Marseille. Palais du Pharo is 700 metres from the property. Free WiFi is available.

Each holiday home has a kitchen with a microwave, fridge, coffee machine and dishwasher. A flat-screen TV with cable channels is featured in each unit. All holiday homes have a bathroom with a bath or shower stocked with free toiletries. Each home also has a private terrace.

Orange Velodrome Stadium is 3 km from L'Orangeraie et la Palmeraie d'Endoume. The nearest airport is Marseille Provence Airport, 21 km from L'Orangeraie et la Palmeraie d'Endoume. One free parking space is available on site, upon request and subject to availability and confirmation by the property."
8,Odalys City Marseille Centre Euromed,€ 858,Beds: 1 double or 2 singles,"Odalys City Marseille Centre Euromed is located in the Euromed - La Joliette district of Marseille, less than 1 km from Joliette Metro Station, a 10-minute walk from Les Terrasses du Port Shopping Centre and 2.2 km from Museum of European and Mediterranean Civilisations. This 4-star aparthotel offers a 24-hour front desk. The accommodation provides a sauna, free WiFi throughout the property and family rooms.

Accommodation is fitted with air conditioning, a fully equipped kitchenette with a dining area, a flat-screen TV and a private bathroom with shower and a hair dryer. At the aparthotel, all units include bed linen and towels.

A selection of options including fresh pastries, fruits and juice is served for the buffet breakfast.

The aparthotel also features a plunge pool and a hammam for guests to relax in. A bicycle rental service is available at Odalys City Marseille Centre Euromed.

Marseille Saint-Charles Train Station is 1.9 km from the accommodation, while Vieux Port Metro station is 2.7 km away. The nearest airport is Marseille Provence Airport, 20 km from Odalys City Marseille Centre Euromed."
9,"Holiday Inn Express Marseille Saint Charles, an IHG Hotel","€ 1,010",1 large double bed,"Holiday Inn Express Marseille Saint Charles is opposite the train station and a 10-minute walk from the Vieux Port in Marseille’s city centre. It offers en suite rooms and free Wi-Fi.

Rooms at Holiday Inn Express Marseille Saint Charles are soundproofed and feature a modern décor. Each is air-conditioned and equipped with a flat-screen TV with satellite channels.

A complimentary breakfast is offered and Le Mistral bar serves light meals. Guests can relax on the outdoor terrace. Additional facilities include a 24-hour reception desk and a laundry service for an additional charge.

Saint-Charles Metro (lines 1 and 2), provide direct access to Parc Chanot and the city centre. Accessible from the A7, the hotel also offers private parking for an additional fee."
