Destination,Month,RoomType,Stars,PricePerNight
"Barcelona",6,"Standard",0,8117
"Barcelona",6,"Standard",0,1544
"Barcelona",6,"Standard",0,1907
"Barcelona",6,"Standard",0,14
"Barcelona",6,"Standard",0,1190
"Barcelona",6,"Standard",0,1215
"Barcelona",6,"Standard",0,1306
"Barcelona",6,"Standard",0,1345
"Barcelona",6,"Standard",0,1597
"Barcelona",6,"Standard",0,15
"Barcelona",6,"Standard",0,1103
"Barcelona",6,"Standard",0,1314
"Barcelona",6,"Standard",0,1100
"Barcelona",6,"Standard",0,1508
"Barcelona",6,"Standard",0,1005
"Barcelona",6,"Standard",0,1332
"Barcelona",6,"Standard",0,1634
"Barcelona",6,"Standard",0,1283
"Barcelona",6,"Standard",0,990
"Barcelona",6,"Standard",0,2048
"Barcelona",6,"Standard",0,18
"Barcelona",6,"Standard",0,1346
"Barcelona",6,"Standard",0,10
"Barcelona",6,"Standard",0,1286
"Barcelona",6,"Standard",0,1378
"Barcelona",6,"Standard",0,1457
"Barcelona",6,"Standard",0,1094
"Barcelona",6,"Standard",0,1355
"Barcelona",6,"Standard",0,24
"Barcelona",6,"Standard",0,12
"Barcelona",6,"Standard",0,1490
"Barcelona",6,"Standard",0,1458
"Barcelona",6,"Standard",0,1959
"Barcelona",6,"Standard",0,1814
"Barcelona",6,"Standard",0,1200
"Barcelona",6,"Standard",0,1278
"Barcelona",6,"Standard",0,1703
"Barcelona",6,"Standard",0,1380
"Barcelona",6,"Standard",0,10
"Barcelona",6,"Standard",0,1409
"Barcelona",6,"Standard",0,1294
"Barcelona",6,"Standard",0,1355
"Barcelona",6,"Standard",0,1214
"Barcelona",6,"Standard",0,1389
"Barcelona",6,"Standard",0,2
"Barcelona",6,"Standard",0,1320
"Barcelona",6,"Standard",0,980
"Barcelona",6,"Standard",0,2035
"Barcelona",6,"Standard",0,14
"Barcelona",6,"Standard",0,1824
"Barcelona",6,"Standard",0,4
"Barcelona",6,"Standard",0,1651
"Barcelona",6,"Standard",0,1220
"Barcelona",6,"Standard",0,9
"Barcelona",6,"Standard",0,1469
"Barcelona",6,"Standard",0,1206
